key,value
development_cost,900000.0
infrastructure_cost,2100.0
contingency,90000.0
discount,0.0
total_estimated_cost,992100.0
monthly_average,165350.0
currency,INR
details,"{""duration_months"": 6, ""expected_users"": 50, ""infra_per_user"": 42.0, ""dev_rate_per_month"": 150000.0, ""contingency_pct"": 0.1, ""discount_pct"": 0.0}"
